Geoid 2010,Year,Med Family Income Adj,Med Gross Rent Adj,Med Household Income Adj,Poverty Perc,Unemployment
47113,2015-2019,61922.898101583530,929.55362081217280,51047.014745650005,0.1853701121035653,0.0485409407665505
47115,2015-2019,61442.752388666864,737.70732050772210,52394.178545025454,0.1537205918881516,0.0380922886342520
47117,2015-2019,65925.172300200140,808.72224934970110,56384.793576220250,0.1395184135977337,0.0597165354330708
47119,2015-2019,72143.748233273130,948.63225841151040,60595.872864118490,0.1008501582330823,0.0404175762422460
47121,2015-2019,60057.431314092740,769.50504983995140,52113.298602590760,0.1693112761647535,0.0916951538306857
47123,2015-2019,57083.283697218220,708.02943979764130,44971.528594572040,0.1842932400726017,0.0775714062743873
47125,2015-2019,71428.299323297980,1029.18650605315820,60989.104783527060,0.1331249106029955,0.0654367743105950
47127,2015-2019,73193.073301236700,712.26913704193850,61166.112143476470,0.0769597710287804,0.0476680384087791
47129,2015-2019,52452.474382134540,723.92830446375590,43809.851549634590,0.2282755272668428,0.0656693711967545
47131,2015-2019,54262.825105449470,658.21299717714850,41988.901583208920,0.2105422293892360,0.0545869197381004
47133,2015-2019,56308.479025822900,577.65874953550080,39426.004599031230,0.1719202981915236,0.0338404222291213
47135,2015-2019,54558.543988239200,649.73360268855400,43492.934180623370,0.2694134257476575,0.0856481481481481
47137,2015-2019,48844.492027237580,570.23927935798050,41924.246200233385,0.2001199520191923,0.0485485485485485
47139,2015-2019,57862.328065857840,729.22792601912750,45901.082215384210,0.1499333090820904,0.0697554031318752
47141,2015-2019,60830.116136865920,757.84588241813400,46911.190083838030,0.1894513857031060,0.0555662004215366
47143,2015-2019,60392.367396392220,685.77102926508060,44735.165473202470,0.1930560373372016,0.0852745715285064
47145,2015-2019,73991.196307475660,712.26913704193850,56564.980709102880,0.1384753740767670,0.0613634441343144
47147,2015-2019,75671.176340528440,947.57233410043600,67100.628361181550,0.1152679912209772,0.0493695713084897
47149,2015-2019,84350.896523916000,1126.69954267199500,71469.636371429860,0.1110079648271171,0.0433946045643177
47151,2015-2019,47523.826335638990,589.31791695731820,41192.898425592110,0.2186508676991976,0.0721754944305523
47153,2015-2019,62956.324304880990,736.64739619664770,52328.463237738850,0.1973901098901098,0.0489738805970149
47155,2015-2019,61719.392633857264,838.40013005978180,52582.845072396680,0.1368206308521211,0.0471801534776077
47157,2015-2019,69474.858817988020,998.44870103200320,54752.510137165800,0.1934818899644235,0.0711524643885881
47159,2015-2019,64072.424604442240,658.21299717714850,50948.441784720090,0.1787382577896412,0.0318957295750768
47161,2015-2019,61574.183003240080,682.59125633185770,48554.072766003220,0.1375273770863228,0.0644596251532667
47163,2015-2019,63213.885912472050,708.02943979764130,49481.506538193240,0.1593791884384530,0.0617020079869509
47165,2015-2019,85424.599851034280,1087.48234316224510,71231.153401438150,0.0897234487054400,0.0301372160550122
47167,2015-2019,73361.601266697510,874.43755663630850,64963.820950055735,0.1239612073950468,0.0614798694232861
47169,2015-2019,62782.496717864800,834.16043281548460,59695.997124016400,0.1019485412853913,0.0628815628815628
47171,2015-2019,52779.990994256510,667.75231597681740,44400.229390902980,0.1805954707437636,0.0568642350557244
47173,2015-2019,55770.037475797144,726.04815308590460,47347.878900000650,0.2195604624518279,0.0843824005982799
47175,2015-2019,55454.180031097000,541.62132295897410,45284.206266338960,0.1681761676434026,0.0980557903634826
47177,2015-2019,55460.539576963440,678.35155908756050,43589.387292931130,0.2174260192624382,0.0505289839100727
47179,2015-2019,69596.750113761560,802.36270348325510,51230.381651465860,0.1541783930633957,0.0451450468710412
47181,2015-2019,55024.910685111900,593.55761420161550,43909.484434875580,0.1801463047788336,0.0726599001127759
47183,2015-2019,57026.047784420200,663.51261873252010,42330.197211374850,0.2026922081283976,0.0557863501483679
47185,2015-2019,53980.885238703704,720.74853153053300,44514.701216499010,0.1624781717409460,0.0645276931349704
47187,2015-2019,134370.844612135000,1589.88646661147000,119731.170027576580,0.0435433295324971,0.0280209268069688
47189,2015-2019,92661.763047049700,1128.81939129414350,80544.708322848140,0.0769008576634226,0.0378790011542467
48001,2015-2019,56726.089204386175,816.14171952722120,46059.010937734280,0.1487778479300081,0.0322856855041805
48003,2015-2019,88820.597343716380,1089.60219178439400,80721.715682797560,0.0918725944106654,0.0373644507307873
48005,2015-2019,60971.086070238794,876.55740525845700,53476.361266632330,0.1774444969296174,0.0663820868053780
48007,2015-2019,61792.527411321390,1072.64340280720510,47841.803628961280,0.2130037390943082,0.0746747124269281
48009,2015-2019,88685.986956209950,675.17178615433760,67660.268397428800,0.1194633977101885,0.0282461134223779
48011,2015-2019,84241.724319875340,1020.70711156456350,76844.512552887710,0.0915789473684210,0.0100334448160535
48013,2015-2019,64621.465397578730,930.61354512324700,58683.769406940430,0.1477496714848883,0.0920884341311894
48015,2015-2019,82880.781504455920,901.99558872424060,70173.348938985990,0.1214946932962598,0.0572705685151557
48017,2015-2019,66263.288155432850,626.41526784491920,55405.423512787580,0.0874981462257155,0.0247860725877840
48019,2015-2019,71243.872493171050,950.75210703365920,62176.220011930294,0.1570597327029730,0.0438950554994954
48021,2015-2019,80947.479561056370,1119.28007249447480,68467.930722467410,0.1123404048149365,0.0598109053231446
48023,2015-2019,61702.433844880080,554.34041469186580,43180.256508856450,0.1173071366657035,0.0240811153358681
48025,2015-2019,52945.339186784100,920.01430201250400,47249.305939070735,0.2060693874265475,0.0795048143053645
48027,2015-2019,68370.417685848570,982.54983636588840,58172.885889002610,0.1386958108240403,0.0760896604998887
48029,2015-2019,72114.070352563050,1075.82317574042800,60582.093848074524,0.1572122087389263,0.0533873965196823
48031,2015-2019,75007.663721795920,903.05551303531480,70368.375012223650,0.0901020861074123,0.0508474576271186
48033,2015-2019,101827.988489220360,,76513.816167832530,0.0261011419249592,0.0253164556962025
48035,2015-2019,64890.686172591610,842.63982730407910,55272.932973903290,0.1577976523197317,0.0421118012422360
48037,2015-2019,65790.561912693700,806.60240072755240,53170.043140731854,0.1658148131246292,0.0564719679779721
