county_fips,ngo_count,food_ngo_count,matched_filer_count,total_revenue,total_assets,filer_coverage_rate,population,avg_food_desert_pct,avg_housing_burden,dac_tract_pct,avg_dac_score,poverty_rate,med_household_income,unemployment,ngo_per_10k,food_ngo_per_10k,revenue_per_capita,assets_per_capita,need_score,capacity_score,gap_score,food_capacity_score,food_gap_score,need_component_count,capacity_component_count
01103,929,37,26,10594757.0,8976798.0,0.02798708288482239,119213.0,0.554704604363618,27.916062845495038,0.1111111111111111,16.322280952429686,12.0,55281.41236839188,0.0508037526746036,77.9277427797304,3.1036883561356565,88.87249712699118,75.3004957513023,-0.08750396059859678,-0.5507229322169515,0.4632189716183547,0.3926561972663468,-0.4801601578649436,3,3
01105,108,0,2,408614.0,561507.0,0.018518518518518517,9293.0,1.0,33.53555364252664,1.0,20.649012150112988,33.8,24852.045321759422,0.1013631597343586,116.21650704831593,0.0,43.970085010222746,60.42257613257291,2.130458243274242,-0.4576956187060109,2.588153861980253,-1.8920863123713685,4.02254455564561,3,3
01107,173,1,4,250153.0,419561.0,0.023121387283236993,20243.0,0.0,31.38228523440202,0.0,18.934346165538706,21.5,42235.863947689235,0.1025706612098733,85.46164106110754,0.4939979252087141,12.357506298473547,20.72622634984933,0.14440525419623843,-1.1911951811356998,1.3356004353319382,-1.2424426517037161,1.3868479058999545,3,3
01109,317,4,9,1951894.0,1754344.0,0.028391167192429023,33333.0,0.46386463864638644,33.15892058920589,0.25,19.16350468082681,23.8,39689.925752488736,0.0613805594687059,95.1009510095101,1.2000120001200012,58.55740557405574,52.630846308463084,0.9150488707924199,-0.5709404467085873,1.4859893175010073,-0.6161799744957562,1.5312288452881762,3,3
01111,142,5,5,1155042.0,2433642.0,0.035211267605633804,14572.0,0.3707109525116662,32.26962668130662,0.0,17.447738303115564,15.9,45995.41547906982,0.0415573053368329,97.44715893494373,3.4312379906670323,79.26447982432062,167.00809772165798,0.26862250194506915,-0.24515885431950704,0.5137813562645762,0.5169238991630973,-0.24830139721802819,3,3
01113,398,2,14,5975741.0,8183516.0,0.035175879396984924,57952.0,0.6552319160684704,32.5251794588625,0.38461538461538464,19.14710791786306,18.9,44986.36753492708,0.0643793827502872,68.67752622860299,0.34511319712865823,103.11535408614026,141.2119685256764,0.7772416733445321,-0.48169707766588526,1.2589387510104173,-1.4123193909896328,2.189561064334165,3,3
01115,528,10,26,4044208.0,6771271.0,0.04924242424242424,87989.0,0.12437918376160656,27.13578856447965,0.15384615384615385,17.82424237592199,10.8,61802.066730121056,0.0533703721913565,60.00750093761721,1.1365056995760834,45.96265442271193,76.95588084874245,-0.6822986880013863,-0.8952632252826168,0.21296453728123055,-0.6635795349897411,-0.018719153011645173,3,3
01117,1768,13,95,33123649.0,30819723.0,0.05373303167420815,213432.0,0.6143877206791859,25.22648853030473,0.041666666666666664,14.799699698400428,8.4,82461.05147727049,0.0362014217154404,82.8366880317853,0.6090932943513625,155.19532684883242,144.40066625435736,-0.43831667890357157,-0.24067757784950747,-0.1976391010540641,-1.122346205849722,0.6840295269461505,3,3
01119,212,0,7,403024.0,369090.0,0.0330188679245283,12797.0,0.11885598187075096,35.674790966632806,0.5,20.459630816128783,33.5,25777.359245327298,0.09720176730486,165.66382745956082,0.0,31.49363131984059,28.84191607407986,1.3163547714648711,-0.4161289416105523,1.7324837130754234,-1.8920863123713685,3.20844108383624,3,3
01121,585,11,34,5607004.0,6520845.0,0.05811965811965812,80387.0,0.3618246731436675,29.679083682685018,0.3181818181818182,19.591991717504072,17.0,43801.372155146,0.0849408379576617,72.77296080211974,1.368380459527038,69.75013372809036,81.11815343276898,0.1370999171171321,-0.6432493934819666,0.7803493105990987,-0.4968466731085232,0.6339465902256554,3,3
